point,time_s,signal_raw,signal_scaled
367,71.880393148,135062,64.4025802612
368,72.076151713,133625,63.7173652649
369,72.271910277,132226,63.0502700806
370,72.467668842,130864,62.4008178711
371,72.663427406,129540,61.7694854736
372,72.859185971,128253,61.155796051
373,73.054944535,126999,60.5578422546
374,73.250703100,125773,59.9732398987
375,73.446461664,124577,59.4029426575
376,73.642220228,123412,58.8474273682
377,73.837978793,122275,58.3052635193
378,74.033737357,121161,57.774066925
379,74.229495922,120072,57.2547912598
380,74.425254486,119009,56.7479133606
381,74.621013051,117975,56.254863739
382,74.816771615,116969,55.7751655579
383,75.012530179,115993,55.3097724915
384,75.208288744,115045,54.8577308655
385,75.404047308,114119,54.416179657
386,75.599805873,113213,53.9841651917
387,75.795564437,112328,53.5621643066
388,75.991323002,116447,55.5262565613
389,76.187081566,115584,55.1147460938
390,76.382840131,114740,54.7122955322
391,76.578598695,113918,54.3203353882
392,76.774357259,113119,53.9393424988
393,76.970115824,112346,53.5707473755
394,77.165874388,111593,53.2116889954
395,77.361632953,110857,52.8607368469
396,77.557391517,110138,52.5178909302
397,77.753150082,109440,52.1850585938
398,77.948908646,108761,51.8612861633
399,78.144667210,108100,51.5460968018
400,78.340425775,107456,51.2390136719
401,78.536184339,106828,50.9395599365
402,78.731942904,106216,50.6477355957
403,78.927701468,105615,50.3611564636
404,79.123460033,105023,50.078868866
405,79.319218597,104440,49.8008728027
406,79.514977162,103866,49.5271682739
407,79.710735726,103304,49.259185791
408,79.906494290,102754,48.996925354
409,80.102252855,102219,48.7418174744
410,80.298011419,101701,48.4948158264
411,80.493769984,101204,48.2578277588
412,80.689528548,105378,50.2481460571
413,80.885287113,104899,50.0197410583
414,81.081045677,104430,49.7961044312
415,81.276804241,103970,49.5767593384
416,81.472562806,103523,49.3636131287
417,81.668321370,103088,49.1561889648
418,81.864079935,102661,48.9525794983
419,82.059838499,102244,48.7537384033
420,82.255597064,101841,48.5615730286
421,82.451355628,101450,48.3751296997
422,82.647114192,101070,48.1939315796
423,82.842872757,100699,48.0170249939
424,83.038631321,100341,47.8463172913
425,83.234389886,99996,47.6818084717
426,83.430148450,99663,47.523021698
427,83.625907015,99342,47.3699569702
428,83.821665579,99030,47.2211837769
429,84.017424144,98724,47.0752716064
430,84.213182708,98423,46.9317436218
431,84.408941272,98129,46.7915534973
432,84.604699837,97841,46.6542243958
433,84.800458401,97556,46.5183258057
434,84.996216966,97273,46.3833808899
435,85.191975530,96996,46.2512969971
436,85.387734095,96724,46.12159729
437,85.583492659,96456,45.9938049316
438,85.779251223,96191,45.8674430847
439,85.975009788,95933,45.7444190979
440,86.170768352,95682,45.6247329712
441,86.366526917,95438,45.5083847046
442,86.562285481,95202,45.3958511353
443,86.758044046,94973,45.286655426
444,86.953802610,94750,45.1803207397
445,87.149561175,94531,45.0758934021
446,87.345319739,94315,44.9728965759
447,87.541078303,94103,44.8718070984
